sentiment sentimenttext
0 "enter the iphone 8 and amazon gift card giveaway hosted by nataliesoutlet httpstco6vz7jeruk6"
1 "suicide san paky dave coz you fucking told me to fa fuck sake and there two sizes to small"
2 "rt yazminoneilll right am not being funny but ever since the iphone 8 and x have came out"
1 "tryna get my man an iphone 8 for his birthday but that might be dumb cause i cant find anyone"
0 "rt ping harris so my shawty iphone 8 camera httpstcoehb7vttufa"
1 "yeah maybe his bed was two sizes too small httpstcoxjubt3000hxh"
2 "9 crona nylon braided lightning to usb charging cord for iphone 877 plus66s6 plus6s httpstcowbe9qvgj8e"
2 "for apple iphone 6 6s 47 hybrid rugged impact double layer case cover bhop price 888 httpstcobogkkhet8a"
0 "i love the iphone 8 so much"
2 "rt jaallisssaaa iphone 8 plus quality portraitmode httpstcohobwmnxmu8"
0 "hey i just entered the nataliesoutlet iphone 8 and amazon gift card giveaway give it a try httpstco6vz7jeruk6"
0 "hey i just entered the nataliesoutlet iphone 8 and amazon gift card giveaway give it a try httpstco6vz7jeruk6 do it now"
0 "i liked a youtube video httpstcoq6flxlt5hn iphone x vs galaxy note 8 camera test comparison"
0 "oh gosh wireless charging is super cool"
0 "my christmas list 1 balenciaga speed runners 2 iphone 8 or httpstcosfjtx6chgr"
0 "jsnover it seems to have done a good job of trashing the performance of my ipad for little to no benefit i ditche httpstcopzxagcxcgu"
0 "i want the iphone 8 plus the x too small"
0 "i got me the iwatch 3 and the iphone 8 bihhhhhh"
0 "i liked a youtube video httpstcolwqenl5xby how to unlock any iphone 8 without passcode you wont believe it"
2 "usb cable for iphone 8 7 6 6s se 5s"
2 "iphone 8 or iphone x"
1 "holy shit after using an iphone and working on a computer for 8 hours a day plus at home for countless hours"
1 "whats going on with the new ios update apple applesupport i got a brand new iphone 8 its not letting me down httpstcomvfn4r5ois"
2 "rt bluenetstudio iphone 6 16gb gold o2 tesco giffgaff iphone 8 stylehttpstcobsmitxw7bz"
2 "rt christinedobby shares of the big three were all down sharply this morning after freedom said it would offer 0down iphone x and 8"
1 "rt trapafasa who else has an iphone 78 but has never tried to put it in water because satan works in mysterious ways"
1 "one iphone x would be better than two iphone 8s facts httpstcop91b4ip9os"
0 "rt lensosaa iphone 8 camera crazy"
0 "my grandma hasnt called me in about 3 months found out she got the iphone 8 lol"
